SN,Name,Symbol,Status,Sector,Instrument,Email,Website
21,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,Active,Microfinance,Equity,info@chhimekbank.org.np,www.chhimekbank.org
22,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Active,Microfinance,Equity,ddbl@ddbank.org.np,
23,Sanima Bank Limited,SANIMA,Active,Commercial Banks,Equity,RUDRA@sanimabank.com,www.sanimabank.com
24,Narayani Development Bank Limited,NABBC,Active,Development Banks,Equity,info@ndbl.com.np,www.ndbl.com.np
25,Nepal Insurance Co. Ltd.,NICL,Active,Non Life Insurance,Equity,nic@nepalinsurance.com.np,www.nepalinsurance.com.np
26,Rastriya Beema Company Limited,RBCL,Active,Non Life Insurance,Equity,info@rbcl.gov.np,
27,National Life Insurance Co. Ltd.,NLICL,Active,Life Insurance,Equity,info@nationallife.com.np,www.nationallife.com.np
28,Himalayan Everest Insurance Limited,HEI,Active,Non Life Insurance,Equity,subindra.shrestha@hei.com.np,
29,United Ajod Insurance Limited,UAIL,Active,Non Life Insurance,Equity,info@unitedajodinsurance.com,www.unitedajodinsurance.com
30,Siddhartha Premier Insurance Limited,SPIL,Active,Non Life Insurance,Equity,premier@picl.com.np,
31,Neco Insurance Limited,NIL,Active,Non Life Insurance,Equity,info@neco.com.np,http://www.neco.com.np
32,Prabhu Insurance Ltd.,PRIN,Active,Non Life Insurance,Equity,info@prabhuinsurance.com,http://www.prabhuinsurance.com
33,Sagarmatha Lumbini Insurance Co. Limited,SALICO,Active,Non Life Insurance,Equity,bishow.ad@sagarmathainsurance.com.np,
34,IGI Prudential insurance Limited,IGI,Active,Non Life Insurance,Equity,compliance@iginepal.com,http://www.igiprudential.com
35,Nepal Life Insurance Co. Ltd.,NLIC,Active,Life Insurance,Equity,info@nepallife.com.np,www.nepallife.com.np
36,Life Insurance Corporation (Nepal) Limited,LICN,Active,Life Insurance,Equity,cs@licnepal.com.np,http://www.licnepal.com.np
37,Shikhar Insurance Co. Ltd.,SICL,Active,Non Life Insurance,Equity,info@shikharinsurance.com,http://www.shikharinsurance.com
38,Nepal Finance Ltd.,NFS,Active,Finance,Equity,info@nepalfinance.com.np,www.nepalfinancelimited.com.np
39,Bottlers Nepal (Balaju) Limited,BNL,Active,Manufacturing And Processing,Equity,prburma@coca-cola.com.np,
40,Nepal Lube Oil Limited,NLO,Active,Manufacturing And Processing,Equity,g.bhattarai@cg.holdings,
41,Gurkhas Finance Ltd.,GUFL,Active,Finance,Equity,deepak.neupane@gurkhasfinance.com.np,www.gurkhasfinance.com.np
42,Citizen Investment Trust,CIT,Active,Investment,Equity,cit.cmkt@gmail.com,nlk.org.np
43,Bottlers Nepal (Terai) Limited,BNT,Active,Manufacturing And Processing,Equity,investorrelations@coca-cola.com.np,
44,Unilever Nepal Limited,UNL,Active,Manufacturing And Processing,Equity,unl.shareholdersconnect@unilever.com,https://www.unilevernepal.com/
45,Best Finance Company Ltd.,BFC,Active,Finance,Equity,info@bestfinance.com.np,www.bestfinance.com.np
46,Goodwill Finance Limited,GFCL,Active,Finance,Equity,info@goodwill.net.np,https://goodwillfinance.com.np/
47,Himalayan Distillery Limited,HDL,Active,Manufacturing And Processing,Equity,info@himalayandistillery.com,https://himalayandistillery.com/
48,Pokhara Finance Ltd.,PFL,Active,Finance,Equity,info@pokharafinance.com.np,
49,NMB Bank Limited,NMB,Active,Commercial Banks,Equity,pramod.dahal@nmb.com.np,http://www.nmb.com.np
50,Shree Investment Finance Co. Ltd.,SIFC,Active,Finance,Equity,info@shreefinance.com.np,http://www.shreefinance.com.np
51,Central Finance Co. Ltd.,CFCL,Active,Finance,Equity,info@centralfinance.com.np,
52,Janaki Finance Company Limited,JFL,Active,Finance,Equity,info@jfcjanakpur.com,
53,Prabhu Bank Limited,PRVU,Active,Commercial Banks,Equity,amit.bhandari@prabhubank.com,
54,Samriddhi Finance Company Limited,SFCL,Active,Finance,Equity,cs@sfcl.com.np,http://www.wmerchantbank.com
55,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,Active,Finance,Equity,compliance@gmbf.com.np,www.gmbf.com.np
56,Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,Active,Microfinance,Equity,finance@swbbl.com.np,www.swbbl.com.np
57,ICFC Finance Limited,ICFC,Active,Finance,Equity,nepsereport@icfcbank.com,www.icfc.com.np
58,Excel Development Bank Ltd.,EDBL,Active,Development Banks,Equity,info@edb.com.np,
59,Nepal Doorsanchar Company Limited,NTC,Active,Others,Equity,cs.nt@ntc.net.np,www.ntc.net.np
60,Progressive Finance Limited,PROFL,Active,Finance,Equity,info@pfltd.com.np,http://www.pfltd.com.np
61,Global IME Bank Limited,GBIME,Active,Commercial Banks,Equity,nlisting@gibl.com.np,http://www.globalimebank.com
62,Citizens Bank International Limited,CZBIL,Active,Commercial Banks,Equity,pramesh.kayastha@ctznbank.com,www.ctznbank.com
63,Prime Commercial Bank Ltd.,PCBL,Active,Commercial Banks,Equity,CS@pcbl.com.np,www.primebank.com.np
64,Lumbini Bikas Bank Ltd.,LBBL,Active,Development Banks,Equity,info@lumbinibikasbank.com,www.lumbinibikasbank.com
65,Arun Valley Hydropower Development Co. Ltd.,AHPC,Active,Hydro Power,Equity,arunvalley2054@gmail.com,
66,Miteri Development Bank Limited,MDB,Active,Development Banks,Equity,info@miteribank.com.np,http://www.miteribank.com.np
67,Asian Life Insurance Co. Limited,ALICL,Active,Life Insurance,Equity,asianlife@asianlife.com.np,www.asianlife.com.np
68,Himalayan Life Insurance Limited,HLI,Active,Life Insurance,Equity,ishwar@himalayanlife.com.np,
69,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,NMLBBL,Active,Microfinance,Equity,info@nerudemirmire.com.np,https://www.nerudemirmire.com.np
70,Agricultural Development Bank Limited,ADBL,Active,Commercial Banks,Equity,cs@adbl.gov.np,
71,Mahalaxmi Bikas Bank Ltd.,MLBL,Active,Development Banks,Equity,listing@mahalaxmi.com.np,http://www.mahalaxmibank.com
72,SuryaJyoti Life Insurance Company Limited,SJLIC,Active,Life Insurance,Equity,it@suryalife.com,
73,Garima Bikas Bank Limited,GBBL,Active,Development Banks,Equity,info@garimabank.com.np,www.garimabank.com.np
74,Jyoti Bikas Bank Limited,JBBL,Active,Development Banks,Equity,krishna.oasti@jbbl.com.np,
75,Corporate Development Bank Limited,CORBL,Active,Development Banks,Equity,info@corporatebank.com.np,
76,Kamana Sewa Bikas Bank Limited,KSBBL,Active,Development Banks,Equity,pranay.tuladhar@kamanasewabank.com,https://www.kamanasewabank.com/
77,Multipurpose Finance Company Limited,MPFL,Active,Finance,Equity,mfclfin43@gmail.com,
78,Shangrila Development Bank Ltd.,SADBL,Active,Development Banks,Equity,info@shangrilabank.com,www.shangrilabank.com
79,Shine Resunga Development Bank Ltd.,SHINE,Active,Development Banks,Equity,info@srdb.com.np,https://srdb.com.np/
80,Muktinath Bikas Bank Ltd.,MNBBL,Active,Development Banks,Equity,info@muktinathbank.com.np,
81,First Micro Finance Laghubitta Bittiya Sanstha Limited,FMDBL,Active,Microfinance,Equity,bijay@fmdb.com.np,www.fmdb.com.np
82,Manjushree Finance Ltd.,MFIL,Active,Finance,Equity,info@manjushreefinance.com.np,manjushreefinance.com.np
83,Nepal Bank Limited,NBL,Active,Commercial Banks,Equity,nbl.bodoffice@nepalbank.com.np,www.nepalbank.com.np
84,Swarojgar Laghubitta Bittiya Sanstha Ltd.,SLBBL,Active,Microfinance,Equity,info@slbbl.com.np,www.slbbl.com.np
85,NLG Insurance Company Ltd.,NLG,Active,Non Life Insurance,Equity,manoj.shrestha@nlgi.com.np,
86,Sindhu Bikash Bank Ltd,SINDU,Active,Development Banks,Equity,info@sindhubank.com.np,
87,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,SKBBL,Active,Microfinance,Equity,info@skbbl.com.np,http://www.skbbl.com.np
88,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Active,Microfinance,Equity,info@gblbs.com.np,http://www.grameenbanknepal.com
89,Reliance Finance Ltd.,RLFL,Active,Finance,Equity,loginnepse@reliancenepal.com.np,
90,Sanima Mai Hydropower Ltd.,SHPC,Active,Hydro Power,Equity,sanimamai@sanimahydro.com,www.maihydro.com
91,Kalika Laghubitta Bittiya Sanstha Ltd,KMCDB,Active,Microfinance,Equity,info@kalikabank.com.np,www.kalikabank.com.np
92,Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Active,Microfinance,Equity,mlboperationdepart@gmail.com,http://www.mldbank.com.np
93,Ridi Power Company Limited,RIDI,Active,Hydro Power,Equity,sayikanepal@gmail.com,
94,Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Active,Microfinance,Equity,company.secretary@laxmilaghu.com.np,https://laxmilaghu.com.np/
95,Barun Hydropower Co. Ltd.,BARUN,Active,Hydro Power,Equity,barunhydro@gmail.com,
96,Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Active,Microfinance,Equity,vlbs@vlbs.com.np,
97,Himalayan Laghubitta Bittiya Sanstha Limited,HLBSL,Active,Microfinance,Equity,info@himalayanlaghubitta.com,www.himalayanlaghubitta.com
98,Matribhumi Lagubitta Bittiya Sanstha Limited,MATRI,Active,Microfinance,Equity,bakhat2034@gmail.com,https://matribhumimf.com.np/
99,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,JSLBB,Active,Microfinance,Equity,info@jucbank.com.np,
100,Api Power Company Ltd.,API,Active,Hydro Power,Equity,apipowercompany@gmail.com,www.apipower.com.np
101,NMB Microfinance Bittiya Sanstha Ltd.,NMBMF,Active,Microfinance,Equity,surya.thapa@nmbmicrofinance.com,http://www.cleanvillage.com.np
102,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Active,Microfinance,Equity,info@gilb.com.np,http://www.gilb.com.np
103,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,SWMF,Active,Microfinance,Equity,pramesh.acharya@swmfi.com.np,www.swmfi.com.np
104,Mero Microfinance Bittiya Sanstha Ltd.,MERO,Active,Microfinance,Equity,meromicrofinance@gmail.com,www.meromicrofinance.com
105,Hydorelectricity Investment and Development Company Ltd,HIDCL,Active,Investment,Equity,info@hidcl.org.np,www.hidcl.org.np
106,Ngadi Group Power Ltd.,NGPL,Active,Hydro Power,Equity,nyadigroup06@gmail.com,ngpl.com.npl
107,Green Development Bank Ltd.,GRDBL,Active,Development Banks,Equity,info@greenbank.com.np,http://greenbank.com.np/
108,National Laghubitta Bittiya Sanstha Limited,NMFBS,Active,Microfinance,Equity,hofficenmfbs@gmail.com,http://www.nationalmicrofinance.com.np
109,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,Active,Microfinance,Equity,info@rsdcmf.com,www.rsdcmf.com
110,Khanikhola Hydropower Co. Ltd.,KKHC,Active,Hydro Power,Equity,khanikhola.hpc@gmail.com,www.kkhcl.com.np
111,Dibyashwori Hydropower Ltd.,DHPL,Active,Hydro Power,Equity,dibyashwarihydropower@gmail.com,
112,Arun Kabeli Power Ltd.,AKPL,Active,Hydro Power,Equity,arunkabeli@gmail.com,
113,Forward Microfinance Laghubitta Bittiya Sanstha Limited,FOWAD,Active,Microfinance,Equity,info@forwardmfbank.com.np,www.forwardmfbank.com.np
114,Synergy Power Development Ltd.,SPDL,Active,Hydro Power,Equity,email.synergy@gmail.com,www.synergyhydro.com
115,United Modi Hydropower Ltd.,UMHL,Active,Hydro Power,Equity,unitedmodi@ntc.net.np,www.umh.com.np
116,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,Active,Microfinance,Equity,samata@samata.org.np,www.samata.org.np
117,Chhyangdi Hydropower Ltd.,CHL,Active,Hydro Power,Equity,chhyangdihydropowerltd@gmail.com,
118,Himalayan Power Partner Ltd.,HPPL,Active,Hydro Power,Equity,hpphydro.binaya@gmail.com,http://www.hpp.com.np
119,Mahuli Laghubitta Bittiya Sanstha Limited,MSLB,Active,Microfinance,Equity,saroj.singh@mslbsl.com.np,mslbsl.com.np
120,Nepal Hydro Developers Ltd.,NHDL,Active,Hydro Power,Equity,info@charnawathihydro.com,www.charnawatihydro.com
121,Support Microfinance Bittiya Sanstha Ltd.,SMB,Active,Microfinance,Equity,smicrofinance7@gmail.com,https://supportmicrofinance.com.np/
122,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,Active,Microfinance,Equity,gwagle99@gmail.com,https://unnatislbs.com.np
123,Radhi Bidyut Company Ltd,RADHI,Active,Hydro Power,Equity,info@radhibidyut.com.np,www.radhibidyut.com.np
124,Wean Nepal Laghubitta Bittiya Sanstha Limited,WNLB,Active,Microfinance,Equity,nepalseva@gmail.com,www.weannepal.com
125,Nadep Laghubittiya bittya Sanstha Ltd.,NADEP,Active,Microfinance,Equity,nadeplaghubitta@gmail.com,
126,Panchakanya Mai Hydropower Ltd,PMHPL,Active,Hydro Power,Equity,panchakanyamai@gmail.com,
127,Kalika power Company Ltd,KPCL,Active,Hydro Power,Equity,daraudikalikahydro@gmail.com,www.kalikapower.com.np
128,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Active,Hydro Power,Equity,ankhukhola@yahoo.com,www.aankhukholahydropower.com.np
129,Joshi Hydropower Development Company Ltd,JOSHI,Active,Hydro Power,Equity,joshihydropowerdev@gmail.com,https://jhdc.com.np/
130,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Active,Microfinance,Equity,aarambhachautari@gmail.com,www.aarambhachautari.com
131,Upper Tamakoshi Hydropower Ltd,UPPER,Active,Hydro Power,Equity,office@utkhpl.org.np,www.tamakhosihydro.org.np
132,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Active,Microfinance,Equity,info@slbsl.com.np,www.slbsl.com.np
133,Ghalemdi Hydro Limited,GHL,Active,Hydro Power,Equity,relinarenergy@gmail.com,www.ghalemdi.com
134,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Active,Microfinance,Equity,info@ashamicrofinance.com.np,www.ashamicrofinance.com.np
135,SHIVAM CEMENTS LTD,SHIVM,Active,Manufacturing And Processing,Equity,info@shivamcement.com,www.shivamcement.com
136,UNIVERSAL POWER COMPANY LTD,UPCL,Active,Hydro Power,Equity,upcl.share@tkkhp.com.np,www.universalpowercompany.com.np
137,Mountain Hydro Nepal Limited,MHNL,Active,Hydro Power,Equity,mountainhydronepal@gmail.com,www.mountainhydronepal.com.np
138,Panchthar Power Compant Limited,PPCL,Active,Hydro Power,Equity,ppchewa@gmail.com,www.ppcl.com.np
139,Ganapati Laghubitta Bittiya Sanstha Limited,GMFBS,Active,Microfinance,Equity,ganapati.micro@gmail.com,www.ganapatimicro.com.np
140,Himalaya Urja Bikas Company Limited,HURJA,Active,Hydro Power,Equity,himalayaurja@gmail.com,www.himalurja.com
141,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Active,Microfinance,Equity,guranslbbs@gmail.com,www.guranslaghubitta.com.np
142,Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS,Active,Microfinance,Equity,info@swabhimaanlaghubitta.com.np,www.swabhimaanmicrofinance.com
143,Union Hydropower Limited,UNHPL,Active,Hydro Power,Equity,unionhppl@gmail.com,www.unionhydropower.com.np
144,Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Active,Microfinance,Equity,ilbslfinance@gmail.com,www.infinitymbsl.com
145,RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,Active,Hydro Power,Equity,neupane.nar@gmail.com,www.rghpcl.com.np
146,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Active,Hydro Power,Equity,sanjenhcl@gmail.com,www.sjcl.com.np
147,Saptakoshi Development Bank Ltd,SAPDBL,Active,Development Banks,Equity,info@skdbl.com.np,www.skdbl.com.np
148,Himal Dolakha Hydropower Company Limited,HDHPC,Active,Hydro Power,Equity,hydrohimaldolakha@gmail.com,www.himaldolakhahydro.com
149,Nepal Reinsurance Company Limited,NRIC,Active,Others,Equity,nepalre@ntc.net.np,www.nepalre.com.np
150,NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,Active,Microfinance,Equity,deepit.shrestha@nicasialaghubitta.com,www.nicasialaghubitta.com
151,Sampada Laghubitta Bittiya Sanstha Limited,SMPDA,Active,Microfinance,Equity,laxman.paudel@sampadalaghubitta.com.np,https://www.sampadalaghubitta.com.np/
152,NRN Infrastructure and Development Limited,NRN,Active,Investment,Equity,nrn@nrnil.com,www.nrnil.com
153,Liberty Energy Company Limited,LEC,Active,Hydro Power,Equity,liberty@libertyenergy.com.np,www.libertyenergy.com.np
154,Shiva Shree Hydropower Ltd,SSHL,Active,Hydro Power,Equity,shivashreehydropowerltd@gmail.com,www.shivashreehdyro.com
155,Sanima GIC Insurance Limited,SGIC,Active,Non Life Insurance,Equity,info@sgic.com.np,www.sgic.com.np
156,Mountain Energy Nepal Limited,MEN,Active,Hydro Power,Equity,rajendra.sharma@mountainenergy.com.np,www.mountainenergy.com.np
157,United IDI Mardi RB Hydropower Limited.,UMRH,Active,Hydro Power,Equity,unitedidimardi7mw@gmail.com,www.idimardihydro.com.np
158,Prabhu Mahalaxmi Life Insurance Limited,PMLI,Active,Life Insurance,Equity,kishor.lamichhane@pmlil.com,www.pmlil.com
159,Chandragiri Hills Limited,CGH,Active,Hotels And Tourism,Equity,jhalak.sharma@chandragirihills.com,www.chandragirihills.com
160,Nepal Infrastructure Bank Limited,NIFRA,Active,Investment,Equity,iswor.gautam@nifrabank.com,https://www.nifrabank.com
161,GreenLife Hydropower Limited,GLH,Active,Hydro Power,Equity,nepalgreenlife@gmail.com,www.greenlifehydropower.com.np
162,Mahila Lagubitta Bittiya Sanstha Limited,MLBSL,Active,Microfinance,Equity,mlbsl.nepal@gmail.com,www.mlbsl.com.np
163,Singati Hydro Energy Limited,SHEL,Active,Hydro Power,Equity,shehydro@gmail.com,www.singatihydro.com
164,Ru Ru Jalbidhyut Pariyojana Limited,RURU,Active,Hydro Power,Equity,contact@ruruhydro.com,www.ruruhydro.com
165,CEDB Holdings Limited,CHDC,Active,Investment,Equity,chf@chf.com.np,www.chdc.com.np
166,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,JBLB,Active,Microfinance,Equity,info@jeevanbikasmf.com,www.jeevanbikasmf.com
167,Sanima Reliance Life Insurance Limited,SRLI,Active,Life Insurance,Equity,info@sanimareliancelife.com,www.sanimareliancelife.com
168,Mailung Khola Jal Vidhyut Company Limited,MKJC,Active,Hydro Power,Equity,mailung.mkjc@gmail.com,www.mailunhkhola.com.np
169,Manushi Laghubitta Bittiya Sanstha Limited,MLBS,Active,Microfinance,Equity,info@manushilbs.com.np,https://www.manushilbs.com
170,Sahas Urja Limited,SAHAS,Active,Hydro Power,Equity,surja@sahasurja.com,www.sahasurja.com
171,Terhathum Power Company Limited,TPC,Active,Hydro Power,Equity,terathumpc@gmail.com,http://terhathumpower.com/
172,Samling Power Company Limited,SPC,Active,Hydro Power,Equity,info@urjadeveloper.com,spcl.com.np
173,Nyadi Hydropower Limited,NYADI,Active,Hydro Power,Equity,nhl@nhl.com.np,www.nhl.com.np
174,Madhya Bhotekoshi Jalavidyut Company Limited,MBJC,Active,Hydro Power,Equity,admin@mbjcl.com.np,www.mbjcl.com.np
175,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,Active,Hydro Power,Equity,lowertadi@gmail.com,buddhabhuminepalhydro.com.np
176,Emerging Nepal Limited,ENL,Active,Investment,Equity,mail@emergingnep.com,https://www.emergingnep.com
177,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,NESDO,Active,Microfinance,Equity,nesdosmfi@gmail.com,https://slbs.nesdonepal.org
178,Green Ventures Limited,GVL,Active,Hydro Power,Equity,frontdesk@trivenihydro.com,www.greenventuresnepal.com
179,Balephi Hydropower Limited,BHL,Active,Hydro Power,Equity,info.balephi@gmail.com,www.balephihydro.com
180,Upakar Laghubitta Bittiya Sanstha Limited,ULBSL,Active,Microfinance,Equity,upakar.banke1@gmail.com,www.ulbsl.com.np
181,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL,Active,Microfinance,Equity,info@cycnlbsl.org.np,www.cycnlbsl.org.np
182,River Falls Power Limited,RFPL,Active,Hydro Power,Equity,riverfallshydropower@gmail.com,www.riverfallshydro.com.np
183,Dordi Khola Jal Bidyut Company Limited,DORDI,Active,Hydro Power,Equity,info@dordikhola.com.np,www.dordikhola.com.np
184,Bindhyabasini Hydropower Development Company Limited,BHDC,Active,Hydro Power,Equity,info.bhdc@rmgroup.com.np,https://bindhyabasinihydro.com.np
185,Himalayan Hydropower Limited,HHL,Active,Hydro Power,Equity,himalayanhydro2021@gmail.com,www.hhpl.com.np
186,Upper Hewakhola Hydropower Company Limited,UHEWA,Active,Hydro Power,Equity,upperhewahpc@gmail.com,upperhewahpc.com.np
187,Swet-Ganga Hydropower & Construction Limited,SGHC,Active,Hydro Power,Equity,sghcl@sanimahydro.com,www.swetgangahydropower.com
188,Mandakini Hydropower Limited,MHL,Active,Hydro Power,Equity,mandakini.hydropower@gmail.com,www.mandakinihydro.com.np
189,Upper Solu Hydro Electric Company Limited,USHEC,Active,Hydro Power,Equity,ushec@info.com.np,www.ushec.com.np
190,Rapti Hydro And General Construction Limited,RHGCL,Active,Hydro Power,Equity,info@raptihydro.com.np,www.raptihydro.com.np
191,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,Active,Microfinance,Equity,aviyanlaghu@gmail.com,https://www.aviyanlaghubitta.com/
192,Sayapatri Hydropower Limited,SPHL,Active,Hydro Power,Equity,info@sayapatrihydropower.com,www.sayapatrihydropower.com
193,People's Power Limited,PPL,Active,Hydro Power,Equity,peoplespowerltd@gmail.com,www.peoplespower.com.np
194,Dhaulagiri Laghubitta Bittiya Sanstha Limited,DLBS,Active,Microfinance,Equity,dlbsbank.headoffice@gmail.com,www.dhaulagiribank.com
195,Sikles Hydropower Limited,SIKLES,Active,Hydro Power,Equity,sikleshydro13mw@gmail.com,www.sikleshydro.com.np
196,Eastern Hydropower Limited,EHPL,Active,Hydro Power,Equity,pikhuwakhola5@gmail.com,www.ehpl.com.np
197,Shrijanshil Laghubitta Bittiya Sanstha Limited,SHLB,Active,Microfinance,Equity,info@shrijanshil.com.np,www.shrijanshil.org
198,Peoples Hydropower Company Limited,PHCL,Active,Hydro Power,Equity,peoples.hydro5@gmail.com,https://peopleshydro.com.np/
199,Barahi Hydropower Public Limited,BHPL,Active,Hydro Power,Equity,bhpl.acc@gmail.com,www.barahihydropower.com.np
200,Unique Nepal Laghubitta Bittiya Sanstha Limited,UNLB,Active,Microfinance,Equity,info@unlbsl.com.np,https://uniquenepalmicrofinance.com.np
201,Super Madi Hydropower Limited,SMHL,Active,Hydro Power,Equity,supermadihydro@gmail.com,www.supermadihydro.com.np
202,Shuvam Power Limited,SPL,Active,Hydro Power,Equity,shuvampower@gmail.com,www.shuvamhydro.com.np
203,Super Mai Hydropower Limited,SMH,Active,Hydro Power,Equity,supermaihydropower@gmail.com,www.supermaihydro.com.np
204,Maya Khola Hydropower Company Limited,MKHC,Active,Hydro Power,Equity,dpshresths@gmail.com,www.mkhpcl.com.np
205,Asian Hydropower Limited,AHL,Active,Hydro Power,Equity,info@asianhydro.com.np,https://asianhydro.com.np/
206,Kalinchowk Darshan Limited,KDL,Active,Hotels And Tourism,Equity,darshankalinchowk@gmail.com,www.kalinchowkdarshan.com.np
207,Sanima Middle Tamor Hydropower Limited,TAMOR,Active,Hydro Power,Equity,middletamor@sanimahydro.com,https://middletamor.com/
208,Molung Hydropower Company Limited,MHCL,Active,Hydro Power,Equity,molung.office@gmail.com,www.molunghydropwer.com.np
209,Sagarmatha Jalabidhyut Company Limited,SMJC,Active,Hydro Power,Equity,sagarmathahydropower@gmail.com,https://sagarmathajbc.com.np
210,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,Active,Microfinance,Equity,aatmanirbhar2076@gmail.com,https://aatmanirbhar.com.np
211,Makar Jitumaya Suri Hydropower Limited,MAKAR,Active,Hydro Power,Equity,mjs.hydropower2065@gmail.com,www.mjshydropower.com.np
212,Mai Khola Hydropower Limited,MKHL,Active,Hydro Power,Equity,maikholahydro@gmail.com,https://maikholahydropower.com.np
213,Dolti Power Company Limited,DOLTI,Active,Hydro Power,Equity,info@doltipower.com.np,www.doltipower.org.np
214,Bhugol Energy Development Company Limited,BEDC,Active,Hydro Power,Equity,energy.bhugol@gmail.com,www.bedc.com.np
215,City Hotel Limited,CITY,Active,Hotels And Tourism,Equity,info@cityhotel.com.np,https://cityhotel.com.np/
216,Menchhiyam Hydropower Limited,MCHL,Active,Hydro Power,Equity,menchhiyam@gmail.com,www.menchhiyamhydropower.com
217,Ingwa Hydropower Limited,IHL,Active,Hydro Power,Equity,hydropoweringwa@gmail.com,www.ingwahydropowerltd.com.np
218,Modi Energy Limited,MEL,Active,Hydro Power,Equity,info@modihydro.com,www.modihydro.com
219,Rawa Energy Development Limited,RAWA,Active,Hydro Power,Equity,rawa.hydro@gmail.com,www.rawaenergy.com.np
220,Nepal Republic Media Limited,NRM,Active,Others,Equity,info@nagariknews.com,www.nepalrepublicmedia.com
221,IME Life Insurance Company Limited,ILI,Active,Life Insurance,Equity,info@imelifeinsurance.com,www.imelifeinsurance.com
222,Upper Syange Hydropower Limited,USHL,Active,Hydro Power,Equity,upper.syange@gmail.com,www.uppersyange.com
